receiving_yards,depth,season,targets,team_passing_yards,team_pass_td,team_receptions,team_receiving_yards,height,weight,age,reception_td
1051.0,2.0,2019,84.0,3956,29,297,3956,73.0,226.0,22,8.0
1075.0,1.0,2020,106.0,3826,34,316,3826,73.0,226.0,23,12.0
869.0,1.0,2021,105.0,3745,23,359,3745,73.0,226.0,24,5.0
1496.0,1.0,2022,145.0,4364,28,350,4378,73.0,226.0,25,12.0
1456.0,1.0,2023,158.0,4067,26,369,4067,73.0,226.0,26,8.0
1350.0,1.0,2012,164.0,3807,32,335,3807,76.0,210.0,24,12.0
1426.0,1.0,2013,178.0,4318,35,364,4318,76.0,210.0,25,12.0
1041.0,1.0,2014,116.0,3551,22,323,3551,76.0,210.0,26,8.0
1297.0,1.0,2015,132.0,4104,33,334,4104,76.0,210.0,27,10.0
964.0,1.0,2016,100.0,4206,18,364,4206,76.0,210.0,28,4.0
1086.0,1.0,2017,143.0,3386,26,304,3378,76.0,210.0,29,8.0
694.0,1.0,2018,78.0,3569,28,331,3569,76.0,210.0,30,7.0
523.0,1.0,2020,104.0,3793,20,372,3793,76.0,210.0,32,2.0
848.0,1.0,2021,93.0,4619,28,415,4603,76.0,210.0,33,3.0
238.0,1.0,2022,49.0,3966,19,433,3966,76.0,210.0,34,2.0
0.0,3.0,2012,1.0,3551,23,289,3551,73.0,195.0,22,0.0
130.0,2.0,2013,17.0,3561,24,333,3561,73.0,195.0,23,0.0
93.0,2.0,2014,15.0,3428,19,320,3428,73.0,195.0,24,0.0
246.0,2.0,2023,18.0,4225,30,406,4225,77.0,205.0,24,4.0
88.0,2.0,2016,16.0,3166,21,287,3166,73.0,208.0,23,0.0
519.0,2.0,2013,72.0,4343,26,380,4343,75.0,205.0,22,4.0
38.0,2.0,2014,5.0,4291,36,392,4291,75.0,205.0,23,0.0
141.0,2.0,2015,21.0,4812,38,404,4812,75.0,205.0,24,0.0
484.0,1.0,2013,86.0,3751,20,349,3751,67.0,178.0,22,1.0
55.0,2.0,2014,7.0,3451,20,325,3451,67.0,178.0,23,0.0
260.0,2.0,2015,41.0,4042,25,312,4047,71.0,195.0,22,2.0
624.0,2.0,2016,84.0,4165,31,355,4165,71.0,195.0,23,2.0
625.0,2.0,2017,83.0,4607,27,378,4613,71.0,195.0,24,1.0
816.0,1.0,2018,106.0,5358,40,408,5358,71.0,195.0,25,6.0
374.0,1.0,2019,48.0,3956,29,297,3956,71.0,195.0,26,2.0
228.0,2.0,2020,35.0,3826,34,316,3826,71.0,195.0,27,2.0
383.0,1.0,2021,62.0,3746,23,356,3746,71.0,195.0,28,0.0
137.0,2.0,2014,13.0,3566,19,322,3566,74.0,195.0,24,1.0
144.0,3.0,2015,18.0,3246,14,294,3246,74.0,195.0,25,0.0
967.0,2.0,2016,92.0,4119,20,414,4119,74.0,195.0,26,5.0
1276.0,1.0,2017,142.0,3929,25,357,3929,74.0,195.0,27,4.0
1375.0,1.0,2018,154.0,4298,35,425,4298,74.0,195.0,28,9.0
422.0,1.0,2019,48.0,3729,26,319,3725,74.0,195.0,29,6.0
925.0,1.0,2020,109.0,4265,37,349,4265,74.0,195.0,30,14.0
726.0,1.0,2021,95.0,4450,34,398,4450,74.0,195.0,31,10.0
718.0,1.0,2022,109.0,4818,32,448,4808,74.0,195.0,32,6.0
1016.0,1.0,2023,138.0,3245,17,350,3245,74.0,195.0,33,4.0
260.0,3.0,2014,28.0,3428,19,320,3428,69.0,195.0,22,0.0
